State,Crime_Info,Value,Category,Crime,Metric,Year
Sikkim,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__V,1.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,V,2021
Tamil Nadu,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__V,41.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,V,2021
Telangana,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__V,1266.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,V,2021
Tripura,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__V,2.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,V,2021
Uttar Pradesh,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__V,318.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,V,2021
Uttarakhand,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__V,33.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,V,2021
West Bengal,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__V,235.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,V,2021
A&N Islands,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__V,4.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,V,2021
Chandigarh,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__V,11.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,V,2021
D&N Haveli and Daman & Diu,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__V,2.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,V,2021
Delhi,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__V,272.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,V,2021
Jammu & Kashmir,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__V,26.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,V,2021
Ladakh,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__V,0.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,V,2021
Lakshadweep,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__V,0.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,V,2021
Puducherry,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__V,0.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,V,2021
Andhra Pradesh,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,4.5,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Arunachal Pradesh,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.4,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Assam,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,1.3,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Bihar,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Chhattisgarh,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.5,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Goa,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,2.6,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Gujarat,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.3,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Haryana,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,4.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Himachal Pradesh,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,2.5,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Jharkhand,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.3,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Karnataka,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.5,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Kerala,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,2.1,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Madhya Pradesh,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,2.6,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Maharashtra,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,3.6,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Manipur,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,1.4,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Meghalaya,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.3,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Mizoram,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.8,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Nagaland,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Odisha,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,1.7,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Punjab,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.6,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Rajasthan,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,1.2,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Sikkim,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.3,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Tamil Nadu,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.1,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Telangana,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,6.7,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Tripura,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.1,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Uttar Pradesh,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.3,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Uttarakhand,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.6,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
West Bengal,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.5,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
A&N Islands,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,2.1,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Chandigarh,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,2.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
D&N Haveli and Daman & Diu,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.5,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Delhi,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,2.8,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Jammu & Kashmir,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.4,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Ladakh,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Lakshadweep,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Puducherry,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC)__R,0.0,Offences affecting the Human Body_Assault on Women with Intent to Outrage her Modesty_Stalking (Sec.354D IPC),,R,2021
Andhra Pradesh,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,526.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Arunachal Pradesh,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,65.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Assam,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,1414.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Bihar,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,1550.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Chhattisgarh,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,2527.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Goa,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,44.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Gujarat,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,730.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Haryana,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,290.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Himachal Pradesh,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,196.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Jharkhand,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,578.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Karnataka,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,2623.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Kerala,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,265.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Madhya Pradesh,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,7993.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Maharashtra,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,9774.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Manipur,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,13.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Meghalaya,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,73.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Mizoram,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,1.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Nagaland,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,20.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Odisha,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,5369.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Punjab,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,67.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Rajasthan,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,3497.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Sikkim,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,37.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Tamil Nadu,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,125.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Telangana,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,2058.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Tripura,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,52.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Uttar Pradesh,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,5636.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Uttarakhand,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,187.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
West Bengal,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,4913.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
A&N Islands,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,6.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Chandigarh,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,132.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
D&N Haveli and Daman & Diu,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,46.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Delhi,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,5045.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Jammu & Kashmir,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,408.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Ladakh,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,4.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Lakshadweep,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,0.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Puducherry,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _I,38.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,I,2021
Andhra Pradesh,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,548.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Arunachal Pradesh,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,66.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Assam,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,1547.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Bihar,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,1577.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Chhattisgarh,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,2581.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Goa,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,47.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Gujarat,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,770.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Haryana,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,299.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Himachal Pradesh,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,199.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Jharkhand,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,584.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Karnataka,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,2719.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Kerala,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,269.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Madhya Pradesh,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,8450.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Maharashtra,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,9931.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Manipur,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,13.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Meghalaya,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,73.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Mizoram,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,1.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
Nagaland,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC)_Kidnapping and Abduction (Sec.363 IPC) _V,24.0,Offences affecting the Human Body_Kidnapping and Abduction_Kidnapping and Abduction (Sec.363 IPC),Kidnapping and Abduction,V,2021
