State,Crime_Info,Value,Category,Crime,Metric,Year
Gujarat,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,1046.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Haryana,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,1144.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Himachal Pradesh,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,92.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Jharkhand,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,1606.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Karnataka,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,1429.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Kerala,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,355.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Madhya Pradesh,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,2075.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Maharashtra,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,2381.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Manipur,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,52.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Meghalaya,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,83.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Mizoram,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,26.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Nagaland,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,39.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Odisha,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,1411.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Punjab,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,763.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Rajasthan,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,1793.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Sikkim,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,16.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Tamil Nadu,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,1741.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Telangana,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,1054.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Tripura,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,130.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Uttar Pradesh,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,3825.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Uttarakhand,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,214.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
West Bengal,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,1919.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
A&N Islands,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,18.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Chandigarh,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,18.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
D&N Haveli and Daman & Diu,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,14.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Delhi,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,478.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Jammu & Kashmir,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,164.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Ladakh,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,5.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Lakshadweep,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,1.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Puducherry,Offences affecting the Human Body_Murder (Sec.302 IPC)___V,21.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,V,2021
Andhra Pradesh,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.8,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Arunachal Pradesh,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,3.2,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Assam,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,3.4,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Bihar,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,2.3,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Chhattisgarh,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,3.4,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Goa,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.7,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Gujarat,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.4,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Haryana,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,3.8,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Himachal Pradesh,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.2,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Jharkhand,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,4.1,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Karnataka,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,2.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Kerala,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,0.9,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Madhya Pradesh,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,2.4,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
