State,Value,Category,Year,Dataset,State_Total,Crime_Share,Dataset_Total,Contribution_%,Prev_Value,Growth_Rate,Crime_Rank_State,State_Rank,Intensity,Log_Value,Frequency,Metric
Bihar,7626,Attempt to Commit Murder,2021,IPC,305961,0.024924745,4230873,0.180246488,47,16125.53191,7,128,Low,8.939449862,Rare,I
Chhattisgarh,691,Attempt to Commit Murder,2021,IPC,113598,0.006082854,4230873,0.016332327,185,273.5135135,33,820.5,Low,6.539585956,Rare,I
Goa,30,Attempt to Commit Murder,2021,IPC,2936,0.010217984,4230873,0.000709074,2,1400,22.5,2556.5,Low,3.433987204,Rare,I
Gujarat,856,Attempt to Commit Murder,2021,IPC,296968,0.002882465,4230873,0.020232231,571,49.91243433,24,724,Low,6.753437919,Rare,I
Haryana,947,Attempt to Commit Murder,2021,IPC,144925,0.006534414,4230873,0.022383087,642,47.50778816,39,697,Low,6.854354502,Rare,I
Himachal Pradesh,69,Attempt to Commit Murder,2021,IPC,19452,0.003547193,4230873,0.001630869,68,1.470588235,47,1941.5,Low,4.248495242,Rare,I
Jharkhand,2976,Attempt to Commit Murder,2021,IPC,69828,0.042619007,4230873,0.070340093,114,2510.526316,6,318,Low,7.998671361,Rare,I
Karnataka,2680,Attempt to Commit Murder,2021,IPC,177849,0.015068963,4230873,0.063343901,579,362.8670121,15,342,Low,7.893945138,Rare,I
Kerala,600,Attempt to Commit Murder,2021,IPC,174311,0.003442124,4230873,0.01418147,36,1566.666667,36,875,Low,6.398594935,Rare,I
Madhya Pradesh,1910,Attempt to Commit Murder,2021,IPC,462368,0.004130909,4230873,0.045144347,1164,64.08934708,37,445,Low,7.555381944,Rare,I
Maharashtra,3489,Attempt to Commit Murder,2021,IPC,505541,0.006901517,4230873,0.08246525,1462,138.6456908,30,284,Low,8.157657015,Rare,I
Manipur,130,Attempt to Commit Murder,2021,IPC,3307,0.039310553,4230873,0.003072652,2,6400,6,1602,Low,4.875197323,Rare,I
Meghalaya,56,Attempt to Commit Murder,2021,IPC,4249,0.013179572,4230873,0.001323604,1,5500,22,2084,Low,4.043051268,Rare,I
